No_,No_ 2,Description,Search Description,Description 2,Base Unit of Measure,Price Unit Conversion,Type,Inventory Posting Group,Shelf No_,Item Disc_ Group,Allow Invoice Disc_,Statistics Group,Commission Group,Unit Price,Price_Profit Calculation,Profit _,Costing Method,Unit Cost,Standard Cost,Quoted Price(INR),Quoted Price(FCY),Quoted Currency,Standard Cost_,Production BOM No_
102671,,FUJI-FILTER 02,FUJI-FILTER 02,,EA,120,0,PM,S006,D666,1,G1,C1,699,749,50,UC,3531,3039,26,30,USD,75,1000456-SMT
139713,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,PM,S010,D666,1,G1,C1,335,385,50,UC,2841,2723,20,57,USD,97,
130121,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,PM,S008,D668,1,G1,C1,442,492,50,UC,3228,3228,13,52,INR,85,1000456-SMT
119192,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,PM,S010,D666,1,G1,C1,461,511,50,UC,2489,2382,47,38,INR,100,1000456-SMT
EII-CNS-OT-0025,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,RM,S009,D655,1,G1,C1,266,316,50,UC,2507,2705,24,28,USD,92,1000456-SMT
119852,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,RM,S006,D667,1,G1,C1,581,631,50,UC,2941,2941,4,22,USD,84,
119852,,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS","RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",,EA,120,0,RM,S002,D667,1,G1,C1,515,565,50,UC,2989,2544,52,50,INR,95,1000456-SMT
1000457,,"RoHS,Security Tape","RoHS,Security Tape",,EA,120,0,CN,S008,D655,1,G1,C1,552,602,50,UC,3662,3666,47,41,USD,97,
1000457,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,RM,S001,D654,1,G1,C1,690,740,50,UC,2780,2890,20,3,USD,83,1000457-SMT
142120,,OTCT-325*193*227MM-200PCS SODIMM-Y,OTCT-325*193*227MM-200PCS SODIMM-Y,,EA,120,0,PM,S005,D655,1,G1,C1,537,587,50,UC,3662,3631,9,40,INR,86,1000456-SMT
105695,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,RM,S006,D668,1,G1,C1,695,745,50,UC,3009,3001,40,55,INR,99,1000457-SMT
119852,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,RM,S002,D654,1,G1,C1,303,353,50,UC,3337,3383,56,16,INR,88,1000457-SMT
100441,,_RARE_,_RARE_,,_RARE_,120,0,PM,S004,D654,1,G1,C1,344,394,50,UC,2461,2489,59,30,USD,94,1000456-SMT
119852,,_RARE_,_RARE_,,EA,120,0,CN,S001,D655,1,G1,C1,562,612,50,UC,2577,2695,19,48,INR,98,
119852,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,PM,S002,D668,1,G1,C1,291,341,50,UC,3817,3804,8,45,USD,89,
112048,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,CN,S010,D655,1,G1,C1,641,691,50,UC,3323,3327,8,18,USD,99,1000457-SMT
119192,,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS","RoHS,DRAM-2",,EA,120,0,CN,S006,D667,1,G1,C1,537,587,50,UC,3224,3224,20,20,USD,98,1000457-SMT
108259,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,RM,S005,D655,1,G1,C1,306,356,50,UC,2980,2580,53,60,INR,88,1000457-SMT
1000457,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,PM,S006,D654,1,G1,C1,368,418,50,UC,3907,3908,48,21,INR,78,1000457-SMT
141663,,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,,EA,120,0,PM,S009,D655,1,G1,C1,431,481,50,UC,2950,2950,58,28,INR,85,1000457-SMT
137963,,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,,EA,120,0,RM,S004,D654,1,G1,C1,423,473,50,UC,2785,2785,19,5,INR,77,
138531,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,RM,S001,D654,1,G1,C1,597,647,50,UC,2757,2752,7,13,USD,89,1000456-SMT
700536-3,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,PM,S005,D666,1,G1,C1,727,777,50,UC,3227,3224,43,13,INR,78,
116912,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,PM,S009,D654,1,G1,C1,658,708,50,UC,3697,3697,15,35,USD,93,1000456-SMT
109961,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,CN,S009,D667,1,G1,C1,734,784,50,UC,3852,3873,4,18,USD,86,1000457-SMT
105695,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,PM,S010,D666,1,G1,C1,507,557,50,UC,3122,3422,24,50,INR,100,1000456-SMT
123625,,_RARE_,_RARE_,,EA,120,0,RM,S001,D667,1,G1,C1,535,585,50,UC,3239,3231,40,55,INR,80,1000457-SMT
149244,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,RM,S003,D655,1,G1,C1,308,358,50,UC,3369,3314,34,6,USD,87,1000456-SMT
1000457,,"RoHS,Label, 5 X 2 inch blank","RoHS,Label, 5 X 2 inch blank",,EA,120,0,CN,S005,D654,1,G1,C1,490,540,50,UC,3377,3193,41,38,USD,80,1000457-SMT
105695,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,PM,S001,D666,1,G1,C1,291,341,50,UC,2529,2529,27,18,INR,99,
108259,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,CN,S008,D655,1,G1,C1,295,345,50,UC,3124,3127,30,15,USD,90,
123234,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,RM,S008,D654,1,G1,C1,476,526,50,UC,3778,3050,25,15,INR,81,1000456-SMT
138531,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,CN,S010,D668,1,G1,C1,454,504,50,UC,3323,3222,27,50,USD,84,1000456-SMT
1000457,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,PM,S004,D667,1,G1,C1,305,355,50,UC,3883,3886,15,22,USD,80,1000457-SMT
147831,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,RM,S003,D667,1,G1,C1,281,331,50,UC,3588,3543,35,16,USD,87,1000457-SMT
118270,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,CN,S005,D654,1,G1,C1,518,568,50,UC,3680,3620,16,41,INR,90,1000457-SMT
108259,,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS","RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",,EA,120,0,RM,S009,D654,1,G1,C1,540,590,50,UC,3757,3457,7,49,INR,95,
108259,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,RM,S005,D654,1,G1,C1,380,430,50,UC,3163,3334,58,22,USD,83,1000456-SMT
137963,,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,"RoHS,Security Tape",,EA,120,0,PM,S004,D666,1,G1,C1,687,737,50,UC,3388,3385,33,31,USD,96,
119852,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,PM,S002,D668,1,G1,C1,558,608,50,UC,3340,3350,4,21,INR,83,
114717,,OTCT-325*193*227MM-200PCS SODIMM-Y,OTCT-325*193*227MM-200PCS SODIMM-Y,,EA,120,0,RM,S002,D654,1,G1,C1,301,351,50,UC,3733,3062,19,34,USD,77,1000457-SMT
133133,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x220,,EA,120,0,CN,S003,D667,1,G1,C1,313,363,50,UC,3281,3081,31,54,INR,89,
138531,,OTCT-325*193*227MM-200PCS SODIMM-Y,OTCT-325*193*227MM-200PCS SODIMM-Y,,EA,120,0,CN,S004,D667,1,G1,C1,578,628,50,UC,2724,2769,57,2,INR,83,
124914,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,CN,S007,D655,1,G1,C1,405,455,50,UC,3191,3197,5,59,INR,77,1000457-SMT
123234,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,CN,S004,D666,1,G1,C1,499,549,50,UC,2670,2576,25,31,USD,96,
119852,,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,,EA,120,0,PM,S005,D668,1,G1,C1,471,521,50,UC,2725,2705,16,37,INR,84,
1000457,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,CN,S007,D655,1,G1,C1,694,744,50,UC,2666,2606,9,17,INR,89,
119852,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,CN,S001,D666,1,G1,C1,271,321,50,UC,2678,2672,46,13,INR,97,1000456-SMT
1000457,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,CN,S004,D668,1,G1,C1,573,623,50,UC,3343,3344,10,1,INR,92,
138531,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,PM,S002,D655,1,G1,C1,627,677,50,UC,3479,3479,2,43,USD,88,
108259,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,RM,S008,D655,1,G1,C1,511,561,50,UC,2943,2526,42,22,INR,91,
133014,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,RM,S003,D668,1,G1,C1,327,377,50,UC,3528,3568,24,38,USD,87,
145340,,"RoHS,SCM1G8Z41CD8SA-062E","RoHS,Label, 5 X 2 inch blank",,EA,120,0,CN,S002,D654,1,G1,C1,591,641,50,UC,3171,3199,55,7,USD,80,
116912,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,RM,S007,D655,1,G1,C1,453,503,50,UC,2503,2524,2,48,USD,87,1000456-SMT
138531,,OTCT-325*193*227MM-200PCS SODIMM-Y,OTCT-325*193*227MM-200PCS SODIMM-Y,,EA,120,0,CN,S002,D667,1,G1,C1,649,699,50,UC,2633,2662,42,17,INR,80,1000456-SMT
145415,,"RoHS,Label, 4X6 inch","RoHS,DRAM-2",,EA,120,0,CN,S007,D654,1,G1,C1,728,778,50,UC,3209,3209,15,46,USD,100,1000457-SMT
123759,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,RM,S005,D654,1,G1,C1,564,614,50,UC,3289,3281,36,60,INR,83,1000456-SMT
138531,,"RoHS,Label, 5 X 2 inch blank","RoHS,Label, 5 X 2 inch blank",,EA,120,0,CN,S008,D655,1,G1,C1,374,424,50,UC,3500,3500,30,34,USD,84,1000457-SMT
133133,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,RM,S008,D655,1,G1,C1,405,455,50,UC,3099,3081,13,21,INR,98,
119852,,"RoHS,Label, 5 X 2 inch blank","RoHS,Label, 5 X 2 inch blank",,EA,120,0,RM,S009,D667,1,G1,C1,647,697,50,UC,3187,3183,23,58,USD,76,1000456-SMT
115418,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,PM,S006,D666,1,G1,C1,449,499,50,UC,3091,3071,51,16,USD,84,1000456-SMT
119191,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,RM,S001,D667,1,G1,C1,338,388,50,UC,3140,3148,38,15,USD,90,1000456-SMT
119852,,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,,EA,120,0,RM,S003,D655,1,G1,C1,514,564,50,UC,3335,3308,23,49,INR,98,1000456-SMT
118270,,OTCT-650*478*228MM-1000PCS SODIMM-Y,OTCT-650*478*228MM-1000PCS SODIMM-Y,,EA,120,0,CN,S004,D668,1,G1,C1,470,520,50,UC,3518,3960,55,1,INR,85,
119852,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,CN,S002,D668,1,G1,C1,727,777,50,UC,3789,3281,48,51,INR,89,
138872,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,PM,S008,D667,1,G1,C1,411,461,50,UC,2773,2776,51,54,INR,90,1000456-SMT
119852,,OTCT-325*193*227MM-200PCS SODIMM-Y,OTCT-325*193*227MM-200PCS SODIMM-Y,,EA,120,0,PM,S002,D654,1,G1,C1,388,438,50,UC,3617,3619,10,26,USD,92,1000457-SMT
119852,,"RoHS,Label, 5 X 2 inch blank","RoHS,Label, 5 X 2 inch blank",,EA,120,0,PM,S007,D655,1,G1,C1,522,572,50,UC,3350,3350,23,19,INR,97,
119852,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,CN,S005,D654,1,G1,C1,470,520,50,UC,3040,3540,35,55,INR,85,1000457-SMT
139511,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,RM,S006,D655,1,G1,C1,389,439,50,UC,3237,3239,26,1,USD,83,
117019,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,CN,S005,D667,1,G1,C1,289,339,50,UC,2897,2891,34,42,USD,78,1000456-SMT
141305,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,CN,S003,D667,1,G1,C1,278,328,50,UC,2975,2978,38,25,USD,94,1000457-SMT
EII-CNS-OT-0008,,_RARE_,_RARE_,,EA,120,0,CN,S010,D668,1,G1,C1,607,657,50,UC,2558,2558,46,38,USD,84,1000457-SMT
114717,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,CN,S007,D667,1,G1,C1,716,766,50,UC,3467,3167,9,50,USD,88,1000456-SMT
119852,,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS","RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",,EA,120,0,PM,S001,D667,1,G1,C1,622,672,50,UC,3243,3257,40,23,USD,80,1000456-SMT
700536-3,,"RoHS,SCM1G8Z41CD8SA-062E","RoHS,SCM1G8Z41CD8SA-062E",,EA,120,0,CN,S003,D666,1,G1,C1,560,610,50,UC,3620,3620,6,56,USD,82,1000456-SMT
108259,,"RoHS,Label, 5 X 2 inch blank","RoHS,Label, 5 X 2 inch blank",,EA,120,0,CN,S004,D666,1,G1,C1,394,444,50,UC,2763,2763,16,44,USD,96,1000456-SMT
119396,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,CN,S005,D668,1,G1,C1,265,315,50,UC,2867,2732,15,51,INR,85,1000457-SMT
102565,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,CN,S005,D667,1,G1,C1,678,728,50,UC,2831,2821,55,33,USD,99,1000456-SMT
108259,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,PM,S009,D666,1,G1,C1,496,546,50,UC,3936,3936,18,28,USD,89,1000457-SMT
138872,,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,,EA,120,0,CN,S001,D667,1,G1,C1,394,444,50,UC,3725,3125,24,52,USD,100,
149611,,"RoHS,Label, 5 X 2 inch blank","RoHS,Label, 5 X 2 inch blank",,EA,120,0,RM,S010,D668,1,G1,C1,284,334,50,UC,2646,2642,40,57,USD,91,
EII-CNS-OT-0025,,"RoHS,SCM1G8Z41CD8SA-062E","RoHS,SCM1G8Z41CD8SA-062E",,EA,120,0,PM,S003,D666,1,G1,C1,409,459,50,UC,3214,3061,18,25,USD,92,1000456-SMT
EII-CNS-OT-0030,,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,,EA,120,0,CN,S002,D666,1,G1,C1,452,502,50,UC,2855,3848,20,41,INR,91,
119852,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,CN,S008,D666,1,G1,C1,254,304,50,UC,3527,3561,17,20,USD,95,1000456-SMT
102671,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,PM,S002,D667,1,G1,C1,486,536,50,UC,2908,2903,18,40,INR,96,1000457-SMT
121793,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,PM,S010,D667,1,G1,C1,360,410,50,UC,2628,2626,33,13,USD,90,1000456-SMT
119852,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,RM,S003,D667,1,G1,C1,668,718,50,UC,2651,2659,26,32,INR,77,1000457-SMT
149244,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,CN,S007,D666,1,G1,C1,720,770,50,UC,3853,3873,42,60,INR,98,1000456-SMT
138531,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,PM,S005,D666,1,G1,C1,345,395,50,UC,2656,2656,14,24,INR,95,1000457-SMT
135506,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,PM,S003,D654,1,G1,C1,416,466,50,UC,3669,3609,1,17,INR,98,1000457-SMT
1000457,,"RoHS,Label, 5 X 2 inch blank","RoHS,Label, 5 X 2 inch blank",,EA,120,0,PM,S005,D668,1,G1,C1,731,781,50,UC,3788,3775,12,59,USD,91,1000457-SMT
108259,,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS","RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",,EA,120,0,RM,S008,D655,1,G1,C1,675,725,50,UC,3488,3472,50,37,USD,81,1000456-SMT
119852,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,RM,S007,D666,1,G1,C1,475,525,50,UC,3520,3030,49,27,USD,97,
108259,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,CN,S006,D654,1,G1,C1,587,637,50,UC,3994,3595,46,16,INR,91,1000457-SMT
108259,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,PM,S004,D667,1,G1,C1,551,601,50,UC,2511,2619,23,34,INR,76,1000457-SMT
145415,,_RARE_,_RARE_,,EA,120,0,PM,S003,D655,1,G1,C1,506,556,50,UC,2441,2471,44,23,INR,82,1000456-SMT
100441,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,CN,S006,D655,1,G1,C1,667,717,50,UC,3647,3657,47,10,USD,97,
119852,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,PM,S003,D666,1,G1,C1,743,793,50,UC,3336,3322,60,4,INR,75,1000457-SMT
119852,,_RARE_,FUJI-FILTER 02,,EA,120,0,CN,S009,D667,1,G1,C1,625,675,50,UC,2739,2731,47,57,USD,86,1000456-SMT
115418,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,CN,S006,D668,1,G1,C1,610,660,50,UC,3405,3403,17,24,INR,97,1000456-SMT
108259,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,RM,S002,D655,1,G1,C1,435,485,50,UC,3334,3334,57,46,USD,80,1000456-SMT
119852,,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS","RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",,EA,120,0,RM,S002,D668,1,G1,C1,498,548,50,UC,3337,3332,24,1,INR,84,1000457-SMT
102565,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,PM,S006,D654,1,G1,C1,694,744,50,UC,3748,3550,24,35,USD,99,1000456-SMT
119852,,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS","RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",,EA,120,0,CN,S010,D668,1,G1,C1,622,672,50,UC,2993,2513,40,29,USD,93,1000457-SMT
108259,,"RoHS,Security Tape","RoHS,Security Tape",,EA,120,0,RM,S003,D668,1,G1,C1,525,575,50,UC,2983,2988,5,46,INR,84,1000457-SMT
EII-CNS-OT-0030,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,CN,S007,D667,1,G1,C1,410,460,50,UC,3299,3271,38,34,USD,91,1000456-SMT
108259,,OTCT-650*478*228MM-1000PCS SODIMM-Y,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,RM,S006,D654,1,G1,C1,484,534,50,UC,3610,3618,49,42,INR,94,1000457-SMT
119852,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,CN,S007,D654,1,G1,C1,633,683,50,UC,3316,3762,20,50,INR,83,
137932,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,RM,S005,D655,1,G1,C1,546,596,50,UC,3581,3581,13,4,USD,78,1000457-SMT
102565,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,PM,S005,D666,1,G1,C1,295,345,50,UC,3346,3243,6,42,INR,97,1000457-SMT
105581,,OTCT-325*193*227MM-200PCS SODIMM-Y,OTCT-325*193*227MM-200PCS SODIMM-Y,,EA,120,0,RM,S006,D668,1,G1,C1,522,572,50,UC,3839,3839,40,19,INR,97,1000456-SMT
1000457,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,CN,S005,D667,1,G1,C1,504,554,50,UC,3440,3440,28,51,USD,79,1000457-SMT
145340,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,PM,S003,D654,1,G1,C1,519,569,50,UC,2961,3524,18,60,INR,80,1000457-SMT
133414,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,RM,S003,D654,1,G1,C1,513,563,50,UC,3867,3887,40,4,USD,100,
105581,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,RM,S001,D667,1,G1,C1,389,439,50,UC,2602,2663,18,28,USD,98,
124257,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,CN,S010,D666,1,G1,C1,341,391,50,UC,3208,3238,27,45,INR,88,1000457-SMT
1000457,,"RoHS,SCM1G8Z41CD8SA-062E","RoHS,SCM1G8Z41CD8SA-062E",,EA,120,0,PM,S007,D667,1,G1,C1,266,316,50,UC,3339,3229,54,21,INR,89,
1000457,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,CN,S003,D666,1,G1,C1,268,318,50,UC,2593,2694,58,57,INR,97,1000457-SMT
133133,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,PM,S004,D668,1,G1,C1,708,758,50,UC,2626,2626,58,1,USD,90,1000456-SMT
108259,,OTCT-650*478*228MM-1000PCS SODIMM-Y,OTCT-650*478*228MM-1000PCS SODIMM-Y,,EA,120,0,CN,S005,D666,1,G1,C1,572,622,50,UC,3805,3805,2,2,USD,98,
700536-4,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,PM,S003,D668,1,G1,C1,738,788,50,UC,3656,3653,8,56,USD,80,1000456-SMT
108259,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,PM,S005,D655,1,G1,C1,450,500,50,UC,3230,3220,57,47,INR,86,1000457-SMT
131536,,"RoHS,Security Tape","RoHS,Security Tape",,EA,120,0,CN,S006,D666,1,G1,C1,294,344,50,UC,3946,3946,29,36,USD,84,1000457-SMT
119852,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,PM,S003,D666,1,G1,C1,424,474,50,UC,3737,3737,10,3,INR,90,1000457-SMT
111742,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,CN,S005,D667,1,G1,C1,743,793,50,UC,3509,3924,42,17,INR,91,1000457-SMT
119852,,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,,EA,120,0,RM,S006,D668,1,G1,C1,425,475,50,UC,2928,2948,46,44,USD,99,1000456-SMT
135722,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,RM,S006,D654,1,G1,C1,550,600,50,UC,3944,3533,18,32,USD,87,
1000457,,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,,EA,120,0,RM,S002,D655,1,G1,C1,272,322,50,UC,2725,2415,52,12,INR,80,1000457-SMT
128683,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,CN,S004,D666,1,G1,C1,661,711,50,UC,3014,3003,35,53,USD,98,1000456-SMT
133133,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,CN,S001,D668,1,G1,C1,371,421,50,UC,3400,3400,56,29,INR,88,1000457-SMT
140281,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,RM,S010,D668,1,G1,C1,498,548,50,UC,3841,3841,40,10,INR,92,
