Item No_,Lot No_,Bin Code,Days from Registration
135677,IDS-21E2-00696,TMG,177
137963,IDS-21E2-00436,IGS,489
146341,IDS-21E2-00039,TMG,112
700527,IDS-21E2-00560,IGS,95
700536-4,IDS-21E2-00596,TMG,626
102565,IDS-21E2-00316,IGS,413
109560,IDS-21E2-00054,TMG,117
111742,IDS-21E2-00880,IGS,40
111742,IDS-21E2-00564,IGS,666
115418,IDS-21E2-00560,TMG,692
116912,IDS-21E2-00114,IGS,667
118270,IDS-21E2-00039,TMG,659
119192,IDS-21E2-00836,IGS,661
119852,IDS-21E2-00566,IGS,472
119852,IDS-21E2-00612,IGS,53
123546,IDS-21E2-00564,IGS,170
123570,IDS-21E2-00560,TMG,260
132796,IDS-21E2-00724,TMG,608
133414,IDS-21E2-00832,TMG,242
137932,IDS-21E2-00432,TMG,19
138531,IDS-21E2-00453,IGS,314
145340,IDS-21E2-00816,TMG,685
147755,IDS-21E2-00320,TMG,83
700536-3,IDS-21E2-00340,IGS,636
102671,IDS-21E2-00692,IGS,474
103813,IDS-21E2-00566,IGS,173
105449,IDS-21E2-00039,IGS,680
105581,IDS-21E2-00400,IGS,479
111742,IDS-21E2-00348,TMG,658
117019,IDS-21E2-00080,TMG,389
117232,IDS-21E2-00114,IGS,111
118578,IDS-21E2-00596,TMG,85
119852,IDS-21E2-00848,TMG,584
119852,IDS-21E2-00028,TMG,703
119852,IDS-21E2-00560,IGS,703
124914,IDS-21E2-00028,TMG,253
125880,IDS-21E2-00432,IGS,388
130468,IDS-21E2-00332,TMG,401
133014,IDS-21E2-00028,IGS,657
133133,IDS-21E2-00628,TMG,145
137963,IDS-21E2-01072,TMG,343
141305,IDS-21E2-00624,IGS,602
141388,IDS-21E2-00496,TMG,682
145340,IDS-21E2-00628,IGS,181
145415,IDS-21E2-00561,TMG,417
145893,IDS-21E2-00039,TMG,628
700536-2,IDS-21E2-00580,IGS,59
700536-4,IDS-21E2-00114,TMG,504
105581,IDS-21E2-00564,TMG,602
115418,IDS-21E2-00692,IGS,236
117019,IDS-21E2-00692,IGS,510
123546,IDS-21E2-00056,IGS,565
130121,IDS-21E2-00125,TMG,35
131352,IDS-21E2-00368,TMG,511
132214,IDS-21E2-00114,IGS,576
133133,IDS-21E2-00368,IGS,286
135677,IDS-21E2-00949,TMG,431
137932,IDS-21E2-00880,TMG,28
138872,IDS-21E2-00368,IGS,691
142828,IDS-21E2-00836,TMG,455
146860,IDS-21E2-00560,TMG,667
147831,IDS-21E2-00336,IGS,179
700536-4,IDS-21E2-00432,TMG,623
EII-CNS-OT-0025,IDS-21E2-00114,TMG,345
EII-CNS-OT-0025,IDS-21E2-00125,TMG,637
1000457,IDS-21E2-00561,TMG,513
1000457,IDS-21E2-00323,IGS,331
112048,IDS-21E2-00083,TMG,481
112296,IDS-21E2-00690,IGS,207
113854,IDS-21E2-00086,IGS,455
114717,IDS-21E2-00577,TMG,703
115132,IDS-21E2-00584,IGS,378
119027,IDS-21E2-00320,TMG,648
119192,IDS-21E2-00880,TMG,202
119852,IDS-21E2-00704,IGS,415
119852,IDS-21E2-00337,IGS,451
121969,IDS-21E2-00580,TMG,470
122402,IDS-21E2-01217,TMG,39
122402,IDS-21E2-00054,TMG,386
123234,IDS-21E2-00368,TMG,144
123625,IDS-21E2-01072,IGS,469
123625,IDS-21E2-01073,TMG,653
128313,IDS-21E2-00114,TMG,618
128683,IDS-21E2-00101,IGS,452
132893,IDS-21E2-00560,IGS,371
137693,IDS-21E2-00039,IGS,151
138531,IDS-21E2-00720,TMG,522
138531,IDS-21E2-00326,TMG,301
140281,IDS-21E2-00624,TMG,572
147359,IDS-21E2-00884,IGS,182
700526-1,IDS-21E2-00054,TMG,171
700536-4,IDS-21E2-00316,TMG,227
EII-CNS-OT-0008,IDS-21E2-00320,IGS,102
EII-CNS-OT-0025,IDS-21E2-00560,IGS,340
102565,IDS-21E2-00372,IGS,516
108259,IDS-21E2-00816,TMG,679
121571,IDS-21E2-00086,TMG,465
121793,IDS-21E2-00125,IGS,451
122106,IDS-21E2-00816,IGS,34
137963,IDS-21E2-00560,TMG,638
137963,IDS-21E2-00054,IGS,514
137963,IDS-21E2-00568,TMG,505
137963,IDS-21E2-00101,IGS,668
144905,IDS-21E2-00039,IGS,29
1000457,IDS-21E2-00577,TMG,307
100441,IDS-21E2-00125,TMG,475
102565,IDS-21E2-01076,IGS,460
102671,IDS-21E2-01072,IGS,138
105449,IDS-21E2-00056,IGS,291
108259,IDS-21E2-00576,IGS,412
108259,IDS-21E2-00820,TMG,323
111266,IDS-21E2-00692,TMG,351
112048,IDS-21E2-00584,IGS,573
115132,IDS-21E2-00101,TMG,538
117019,IDS-21E2-00821,TMG,639
117019,IDS-21E2-00567,IGS,258
117871,IDS-21E2-00125,TMG,522
119192,IDS-21E2-00368,IGS,291
119396,IDS-21E2-00125,IGS,455
119852,IDS-21E2-00821,TMG,540
119852,IDS-21E2-01088,TMG,495
123248,IDS-21E2-00564,TMG,424
124257,IDS-21E2-00340,TMG,475
131156,IDS-21E2-00125,IGS,661
132387,IDS-21E2-00039,IGS,666
132796,IDS-21E2-00832,TMG,274
132796,IDS-21E2-00564,IGS,75
138531,IDS-21E2-00566,IGS,588
138872,IDS-21E2-00501,TMG,17
140281,IDS-21E2-00028,IGS,639
142120,IDS-21E2-01072,TMG,633
1000457,IDS-21E2-00581,TMG,206
102565,IDS-21E2-00582,IGS,242
103557,IDS-21E2-00086,TMG,653
111266,IDS-21E2-00564,IGS,605
117019,IDS-21E2-00125,IGS,551
119192,IDS-21E2-00400,IGS,500
119438,IDS-21E2-00324,IGS,650
124914,IDS-21E2-00056,TMG,617
128313,IDS-21E2-00564,TMG,594
135506,IDS-21E2-00627,TMG,249
137963,IDS-21E2-00340,TMG,328
140150,IDS-21E2-00820,IGS,22
149244,IDS-21E2-00325,IGS,681
1000457,IDS-21E2-00432,IGS,168
,,,
102565,IDS-21E2-00840,IGS,571
105663,IDS-21E2-00692,TMG,653
107704,IDS-21E2-00125,IGS,540
111742,IDS-21E2-00083,TMG,680
113854,IDS-21E2-00560,IGS,563
113854,IDS-21E2-00080,IGS,124
118578,IDS-21E2-00086,TMG,237
119370,IDS-21E2-00562,TMG,340
119852,IDS-21E2-00083,IGS,704
119852,IDS-21E2-00563,IGS,654
119852,IDS-21E2-00125,TMG,693
120377,IDS-21E2-00576,TMG,20
121571,IDS-21E2-00561,TMG,590
128942,IDS-21E2-00086,TMG,424
131536,IDS-21E2-00086,IGS,316
133133,IDS-21E2-00560,IGS,598
135506,IDS-21E2-00368,TMG,591
135677,IDS-21E2-00056,IGS,298
135722,IDS-21E2-00580,IGS,400
147945,IDS-21E2-00114,TMG,598
700536-2,IDS-21E2-00114,TMG,642
700567-2,IDS-21E2-00560,TMG,629
1000457,IDS-21E2-00344,IGS,375
102671,IDS-21E2-00336,TMG,395
105695,IDS-21E2-00083,IGS,693
108259,IDS-21E2-01072,TMG,521
112048,IDS-21E2-00340,IGS,666
114717,IDS-21E2-00724,TMG,230
117871,IDS-21E2-00560,IGS,55
119852,IDS-21E2-00608,IGS,651
123248,IDS-21E2-00560,IGS,432
123625,IDS-21E2-00576,TMG,346
135506,IDS-21E2-00337,TMG,278
135704,IDS-21E2-00125,TMG,399
136161,IDS-21E2-00028,TMG,395
141305,IDS-21E2-00080,TMG,626
147831,IDS-21E2-00056,TMG,644
149244,IDS-21E2-00580,IGS,120
EII-CNS-OT-0025,IDS-21E2-00820,TMG,516
EII-CNS-OT-0025,IDS-21E2-00817,IGS,267
1000457,IDS-21E2-00056,TMG,665
1000457,IDS-21E2-00352,TMG,396
1000457,IDS-21E2-00370,TMG,295
102565,IDS-21E2-00125,TMG,605
102671,IDS-21E2-00056,IGS,483
105581,IDS-21E2-00336,TMG,638
105695,IDS-21E2-00336,IGS,249
108259,IDS-21E2-00688,TMG,372
113014,IDS-21E2-00028,IGS,384
114717,IDS-21E2-00381,IGS,300
122402,IDS-21E2-01084,TMG,453
123546,IDS-21E2-00368,TMG,193
123625,IDS-21E2-00560,TMG,305
129315,IDS-21E2-00083,TMG,161
135506,IDS-21E2-00320,IGS,583
137963,IDS-21E2-00372,IGS,290
138872,IDS-21E2-00560,TMG,699
141663,IDS-21E2-00324,TMG,672
144457,IDS-21E2-00054,TMG,202
145340,IDS-21E2-00322,TMG,641
145340,IDS-21E2-00437,TMG,34
145340,IDS-21E2-00632,IGS,297
700526-2,IDS-21E2-00086,TMG,236
EII-CNS-OT-0025,IDS-21E2-00756,TMG,250
1000457,IDS-21E2-00624,TMG,648
102565,IDS-21E2-00028,TMG,132
102671,IDS-21E2-00436,IGS,313
116912,IDS-21E2-00564,IGS,257
117232,IDS-21E2-00368,TMG,467
118140,IDS-21E2-00569,IGS,319
119852,IDS-21E2-00640,IGS,542
119852,IDS-21E2-00352,TMG,694
121793,IDS-21E2-00560,IGS,516
123625,IDS-21E2-00054,IGS,559
123759,IDS-21E2-00125,IGS,102
129713,IDS-21E2-00039,IGS,669
132453,IDS-21E2-00320,IGS,402
135677,IDS-21E2-00080,IGS,510
139895,IDS-21E2-00689,TMG,627
141393,IDS-21E2-00584,TMG,48
143108,IDS-21E2-00824,TMG,350
144905,IDS-21E2-00039,TMG,652
145340,IDS-21E2-00054,TMG,691
146860,IDS-21E2-00372,IGS,663
700536-1,IDS-21E2-00560,IGS,170
700536-2,IDS-21E2-00837,IGS,628
EII-CNS-OT-0007,IDS-21E2-00819,TMG,293
1000457,IDS-21E2-00562,TMG,469
101884,IDS-21E2-00321,IGS,683
102565,IDS-21E2-00028,IGS,352
103752,IDS-21E2-00560,TMG,451
103813,IDS-21E2-00125,TMG,617
103813,IDS-21E2-00560,TMG,309
105581,IDS-21E2-00368,TMG,656
108259,IDS-21E2-00321,TMG,638
108259,IDS-21E2-00697,IGS,270
115418,IDS-21E2-00324,TMG,627
118270,IDS-21E2-00320,TMG,45
119852,IDS-21E2-00369,TMG,655
119852,IDS-21E2-00444,TMG,556
119852,IDS-21E2-00380,TMG,356
124257,IDS-21E2-00083,TMG,549
125948,IDS-21E2-00125,IGS,109
126928,IDS-21E2-00320,TMG,334
131664,IDS-21E2-00056,IGS,270
133133,IDS-21E2-00562,TMG,137
138531,IDS-21E2-00818,IGS,48
138531,IDS-21E2-00101,TMG,654
139713,IDS-21E2-00125,TMG,274
142120,IDS-21E2-00565,IGS,395
145340,IDS-21E2-01072,TMG,623
146860,IDS-21E2-00324,TMG,216
700536-1,IDS-21E2-00576,TMG,202
700536-2,IDS-21E2-00028,TMG,456
700536-4,IDS-21E2-00080,TMG,289
100124,IDS-21E2-00564,IGS,324
100441,IDS-21E2-00832,IGS,103
102565,IDS-21E2-00740,IGS,199
108259,IDS-21E2-00709,IGS,231
108730,IDS-21E2-00564,IGS,269
111071,IDS-21E2-00816,TMG,559
112296,IDS-21E2-00340,IGS,160
115418,IDS-21E2-00821,IGS,563
119852,IDS-21E2-00688,IGS,182
119852,IDS-21E2-00816,TMG,673
119852,IDS-21E2-00028,IGS,702
123546,IDS-21E2-01072,IGS,531
132796,IDS-21E2-00336,TMG,557
138531,IDS-21E2-00039,TMG,684
139272,IDS-21E2-00880,IGS,519
145424,IDS-21E2-00039,TMG,516
1000457,IDS-21E2-00416,IGS,81
100441,IDS-21E2-00080,IGS,250
102565,IDS-21E2-00560,IGS,534
108259,IDS-21E2-01089,TMG,168
109456,IDS-21E2-00080,TMG,280
111742,IDS-21E2-00380,TMG,122
119192,IDS-21E2-00086,TMG,657
119192,IDS-21E2-00560,TMG,545
119852,IDS-21E2-00582,IGS,378
123498,IDS-21E2-00820,IGS,246
124257,IDS-21E2-00820,TMG,592
125948,IDS-21E2-00564,IGS,409
135677,IDS-21E2-00028,IGS,693
138212,IDS-21E2-00372,IGS,680
146860,IDS-21E2-00432,IGS,382
147831,IDS-21E2-00039,IGS,469
700536-3,IDS-21E2-00114,TMG,474
EII-CNS-OT-0005,IDS-21E2-00054,IGS,555
1000457,IDS-21E2-00341,IGS,637
101884,IDS-21E2-00816,IGS,379
105695,IDS-21E2-00325,TMG,140
114717,IDS-21E2-00816,IGS,601
117019,IDS-21E2-00054,IGS,480
118475,IDS-21E2-00564,TMG,281
119852,IDS-21E2-00083,TMG,648
126928,IDS-21E2-00054,IGS,667
131156,IDS-21E2-00101,TMG,307
138531,IDS-21E2-00817,TMG,416
140550,IDS-21E2-00114,IGS,120
141663,IDS-21E2-00336,TMG,258
147831,IDS-21E2-00560,TMG,483
147831,IDS-21E2-00821,IGS,46
700567-1,IDS-21E2-00732,TMG,183
EII-CNS-OT-0008,IDS-21E2-00101,TMG,484
105581,IDS-21E2-00083,IGS,654
105581,IDS-21E2-00039,IGS,631
108259,IDS-21E2-00564,TMG,683
108259,IDS-21E2-00818,TMG,136
108259,IDS-21E2-01140,IGS,403
112048,IDS-21E2-00028,TMG,628
112048,IDS-21E2-00816,IGS,662
119192,IDS-21E2-00568,IGS,533
119852,IDS-21E2-00436,TMG,677
120768,IDS-21E2-00039,TMG,324
121225,IDS-21E2-00039,IGS,156
126928,IDS-21E2-00054,TMG,365
131664,IDS-21E2-00086,TMG,488
132796,IDS-21E2-00372,IGS,557
133133,IDS-21E2-00816,TMG,568
134736,IDS-21E2-00039,TMG,596
135677,IDS-21E2-00578,TMG,405
136704,IDS-21E2-00320,IGS,390
137963,IDS-21E2-00125,IGS,680
138212,IDS-21E2-00054,IGS,553
138531,IDS-21E2-00608,IGS,38
143236,IDS-21E2-00056,TMG,523
700527,IDS-21E2-00320,IGS,669
700536-4,IDS-21E2-00688,IGS,66
EII-CNS-OT-0029,IDS-21E2-00372,TMG,550
100392,IDS-21E2-00320,IGS,633
105581,IDS-21E2-00592,IGS,666
108259,IDS-21E2-00376,IGS,199
112048,IDS-21E2-00336,IGS,204
114717,IDS-21E2-01074,TMG,369
115132,IDS-21E2-00571,TMG,539
118475,IDS-21E2-00054,TMG,634
118498,IDS-21E2-00332,IGS,670
121793,IDS-21E2-00039,IGS,522
121969,IDS-21E2-00400,TMG,663
131130,IDS-21E2-00320,TMG,164
132796,IDS-21E2-00437,IGS,492
137932,IDS-21E2-00125,TMG,603
137932,IDS-21E2-00816,IGS,438
137963,IDS-21E2-00083,TMG,526
138531,IDS-21E2-00816,TMG,522
140771,IDS-21E2-00328,IGS,357
145209,IDS-21E2-00086,IGS,218
700536-2,IDS-21E2-00368,TMG,41
700536-4,IDS-21E2-00083,TMG,534
100441,IDS-21E2-00820,TMG,420
101884,IDS-21E2-00592,IGS,614
111742,IDS-21E2-00592,IGS,169
114717,IDS-21E2-00376,TMG,471
114717,IDS-21E2-00325,IGS,572
115418,IDS-21E2-00432,TMG,647
119191,IDS-21E2-00561,IGS,35
129713,IDS-21E2-00564,IGS,583
130371,IDS-21E2-00564,TMG,668
135677,IDS-21E2-00056,TMG,552
137932,IDS-21E2-00572,IGS,404
137963,IDS-21E2-00368,TMG,587
140656,IDS-21E2-00372,TMG,666
EII-CNS-OT-0026,IDS-21E2-00632,TMG,184
1000457,IDS-21E2-00449,TMG,680
1000457,IDS-21E2-00592,TMG,433
101884,IDS-21E2-00114,IGS,190
102565,IDS-21E2-00083,TMG,618
108849,IDS-21E2-00332,IGS,365
111266,IDS-21E2-00372,TMG,474
112048,IDS-21E2-00564,IGS,666
117525,IDS-21E2-00039,IGS,665
118270,IDS-21E2-00028,IGS,455
119027,IDS-21E2-00561,TMG,418
119192,IDS-21E2-00640,IGS,425
121793,IDS-21E2-00080,TMG,665
123546,IDS-21E2-00576,IGS,276
125880,IDS-21E2-00125,IGS,327
132796,IDS-21E2-00368,TMG,255
137963,IDS-21E2-00820,TMG,665
142828,IDS-21E2-00083,TMG,109
143108,IDS-21E2-00565,TMG,308
700526-1,IDS-21E2-00039,TMG,646
EII-CNS-OT-0025,IDS-21E2-00592,TMG,440
1000457,IDS-21E2-01076,IGS,608
101669,IDS-21E2-00320,TMG,30
105581,IDS-21E2-00324,IGS,700
108259,IDS-21E2-00318,TMG,489
108259,IDS-21E2-00817,TMG,699
111742,IDS-21E2-00404,TMG,130
111742,IDS-21E2-00080,IGS,525
111742,IDS-21E2-00576,IGS,368
114717,IDS-21E2-00039,IGS,697
123546,IDS-21E2-00560,IGS,670
123759,IDS-21E2-00039,TMG,678
127229,IDS-21E2-00688,TMG,653
130347,IDS-21E2-00562,IGS,567
133014,IDS-21E2-00564,TMG,150
133133,IDS-21E2-00388,TMG,631
137963,IDS-21E2-00432,TMG,235
138531,IDS-21E2-00352,TMG,485
138872,IDS-21E2-00054,TMG,532
138872,IDS-21E2-00324,TMG,496
140546,IDS-21E2-00816,TMG,163
143236,IDS-21E2-00692,TMG,544
145340,IDS-21E2-00125,TMG,646
145340,IDS-21E2-00101,TMG,692
147831,IDS-21E2-00028,TMG,647
700536-2,IDS-21E2-00560,TMG,421
1000457,IDS-21E2-00820,IGS,671
102671,IDS-21E2-00565,TMG,602
103557,IDS-21E2-00576,TMG,546
108259,IDS-21E2-00336,IGS,571
108259,IDS-21E2-00568,TMG,606
108259,IDS-21E2-00336,TMG,618
112048,IDS-21E2-00114,IGS,700
114167,IDS-21E2-00101,TMG,603
114717,IDS-21E2-00628,IGS,393
117232,IDS-21E2-00333,IGS,511
124060,IDS-21E2-00560,IGS,95
131664,IDS-21E2-00560,IGS,173
132399,IDS-21E2-00576,TMG,130
133414,IDS-21E2-00818,IGS,682
135506,IDS-21E2-00320,TMG,273
135722,IDS-21E2-00560,TMG,564
137963,IDS-21E2-00324,IGS,568
139895,IDS-21E2-00560,TMG,288
143796,IDS-21E2-00039,IGS,377
145340,IDS-21E2-00101,IGS,563
700567-1,IDS-21E2-00054,TMG,524
102565,IDS-21E2-00561,IGS,299
108259,IDS-21E2-01076,TMG,681
112824,IDS-21E2-00039,TMG,240
114717,IDS-21E2-00826,IGS,510
120768,IDS-21E2-00560,TMG,130
121571,IDS-21E2-01088,IGS,250
121793,IDS-21E2-00432,IGS,554
121793,IDS-21E2-00083,TMG,503
123234,IDS-21E2-00816,TMG,573
125880,IDS-21E2-00816,TMG,151
133133,IDS-21E2-00080,IGS,367
133133,IDS-21E2-00437,TMG,178
135677,IDS-21E2-00560,TMG,670
138531,IDS-21E2-00336,IGS,539
138872,IDS-21E2-00628,TMG,643
145433,IDS-21E2-00589,IGS,574
148582,IDS-21E2-00560,IGS,16
EII-CNS-OT-0008,IDS-21E2-00596,IGS,236
EII-CNS-OT-0030,IDS-21E2-00568,IGS,50
102671,IDS-21E2-00692,TMG,343
108259,IDS-21E2-00885,TMG,416
111938,IDS-21E2-00125,TMG,525
112048,IDS-21E2-00576,TMG,572
114717,IDS-21E2-00816,TMG,589
114717,IDS-21E2-00820,TMG,362
117019,IDS-21E2-00449,IGS,368
119852,IDS-21E2-00125,IGS,691
121793,IDS-21E2-00628,TMG,180
128313,IDS-21E2-00056,IGS,291
133133,IDS-21E2-00083,TMG,651
136704,IDS-21E2-00039,IGS,56
137932,IDS-21E2-00560,TMG,587
139272,IDS-21E2-00324,TMG,372
141663,IDS-21E2-00325,TMG,662
141663,IDS-21E2-00320,IGS,403
141663,IDS-21E2-00101,IGS,545
145424,IDS-21E2-00125,IGS,250
146373,IDS-21E2-00336,IGS,67
EII-CNS-OT-0029,IDS-21E2-00820,TMG,485
1000457,IDS-21E2-00816,TMG,552
108259,IDS-21E2-00352,TMG,518
110564,IDS-21E2-00039,IGS,646
111742,IDS-21E2-00576,TMG,557
119396,IDS-21E2-00562,IGS,428
135677,IDS-21E2-00500,IGS,97
137932,IDS-21E2-00054,TMG,448
139713,IDS-21E2-00028,IGS,345
141663,IDS-21E2-00823,TMG,476
149436,IDS-21E2-00114,TMG,650
1000457,IDS-21E2-01079,IGS,666
100441,IDS-21E2-00564,TMG,457
102565,IDS-21E2-00821,IGS,365
102565,IDS-21E2-00440,IGS,302
105226,IDS-21E2-00101,IGS,126
105695,IDS-21E2-00039,IGS,669
109259,IDS-21E2-00580,IGS,614
112048,IDS-21E2-00432,IGS,236
117232,IDS-21E2-00028,IGS,615
119191,IDS-21E2-00819,TMG,270
119852,IDS-21E2-00326,TMG,514
121793,IDS-21E2-00101,TMG,697
122402,IDS-21E2-00821,TMG,638
123759,IDS-21E2-00628,TMG,224
129713,IDS-21E2-00054,TMG,599
142651,IDS-21E2-00444,TMG,638
142726,IDS-21E2-00056,TMG,482
145340,IDS-21E2-00628,TMG,473
146860,IDS-21E2-00056,TMG,457
700536-3,IDS-21E2-00840,TMG,157
EII-CNS-OT-0005,IDS-21E2-00324,IGS,278
1000457,IDS-21E2-00577,IGS,476
1000457,IDS-21E2-01072,TMG,528
103813,IDS-21E2-00028,TMG,607
111742,IDS-21E2-00821,IGS,453
114717,IDS-21E2-00821,IGS,304
119191,IDS-21E2-00565,TMG,332
119192,IDS-21E2-00950,TMG,176
119852,IDS-21E2-00080,IGS,667
119852,IDS-21E2-00592,IGS,575
132214,IDS-21E2-00086,IGS,381
135677,IDS-21E2-00564,TMG,566
137963,IDS-21E2-00816,IGS,692
138212,IDS-21E2-00054,TMG,660
138531,IDS-21E2-00039,IGS,625
141663,IDS-21E2-00340,TMG,632
142120,IDS-21E2-00560,TMG,566
142756,IDS-21E2-00316,IGS,331
147831,IDS-21E2-00572,TMG,114
149244,IDS-21E2-00039,TMG,662
700536-2,IDS-21E2-01093,TMG,31
700536-4,IDS-21E2-01136,TMG,578
EII-CNS-OT-0025,IDS-21E2-00628,IGS,543
101887,IDS-21E2-00320,IGS,475
105491,IDS-21E2-00125,IGS,430
105695,IDS-21E2-00054,TMG,692
108023,IDS-21E2-00560,TMG,607
112048,IDS-21E2-00560,IGS,659
117871,IDS-21E2-00039,IGS,62
118270,IDS-21E2-00564,TMG,475
118270,IDS-21E2-00321,TMG,249
119192,IDS-21E2-00125,IGS,300
119852,IDS-21E2-00625,IGS,261
120768,IDS-21E2-01136,IGS,274
121969,IDS-21E2-00568,IGS,619
123546,IDS-21E2-00083,IGS,695
123759,IDS-21E2-00560,IGS,525
127229,IDS-21E2-00039,TMG,577
128683,IDS-21E2-01073,TMG,625
132796,IDS-21E2-00101,TMG,555
135677,IDS-21E2-00336,TMG,404
137932,IDS-21E2-00056,TMG,181
138212,IDS-21E2-00374,TMG,115
138872,IDS-21E2-01072,TMG,512
140150,IDS-21E2-00056,TMG,275
140150,IDS-21E2-00125,IGS,197
145340,IDS-21E2-00561,IGS,85
700526-2,IDS-21E2-00340,TMG,567
EII-CNS-OT-0025,IDS-21E2-00368,IGS,46
1000457,IDS-21E2-00369,IGS,334
100441,IDS-21E2-00336,TMG,681
108259,IDS-21E2-00452,TMG,354
108259,IDS-21E2-00114,TMG,671
119191,IDS-21E2-00628,IGS,382
119852,IDS-21E2-00624,IGS,489
121969,IDS-21E2-00324,IGS,415
123759,IDS-21E2-00332,IGS,505
125948,IDS-21E2-00086,TMG,426
132453,IDS-21E2-00056,IGS,564
133414,IDS-21E2-00818,TMG,412
139713,IDS-21E2-00039,IGS,222
145340,IDS-21E2-00433,TMG,704
1000457,IDS-21E2-00472,TMG,507
1000457,IDS-21E2-00039,IGS,703
105491,IDS-21E2-00039,TMG,505
111071,IDS-21E2-00568,TMG,137
119131,IDS-21E2-00039,IGS,371
119192,IDS-21E2-00320,TMG,647
119852,IDS-21E2-00836,TMG,44
119852,IDS-21E2-00356,IGS,79
120887,IDS-21E2-00560,TMG,529
123759,IDS-21E2-00563,TMG,55
129257,IDS-21E2-00039,IGS,234
135506,IDS-21E2-00564,IGS,472
136704,IDS-21E2-00125,IGS,612
137932,IDS-21E2-00056,IGS,661
137963,IDS-21E2-00316,TMG,170
138212,IDS-21E2-00320,TMG,600
138531,IDS-21E2-00628,IGS,201
138872,IDS-21E2-00437,TMG,131
141305,IDS-21E2-00114,IGS,130
141663,IDS-21E2-00316,IGS,405
143236,IDS-21E2-00560,TMG,486
147451,IDS-21E2-00039,TMG,611
105581,IDS-21E2-00125,TMG,583
105695,IDS-21E2-00368,TMG,629
105695,IDS-21E2-00708,TMG,202
108259,IDS-21E2-00625,TMG,119
111266,IDS-21E2-00320,IGS,138
112048,IDS-21E2-00086,IGS,596
114717,IDS-21E2-00056,TMG,654
132453,IDS-21E2-00832,TMG,445
137963,IDS-21E2-01073,TMG,119
141663,IDS-21E2-00368,TMG,439
145340,IDS-21E2-00372,TMG,685
148306,IDS-21E2-00822,TMG,308
149244,IDS-21E2-01077,TMG,652
700536-4,IDS-21E2-00369,TMG,486
700567-1,IDS-21E2-00336,IGS,124
EII-CNS-OT-0008,IDS-21E2-00028,IGS,223
EII-CNS-OT-0025,IDS-21E2-00337,TMG,347
102565,IDS-21E2-00324,IGS,652
105581,IDS-21E2-00561,TMG,555
108259,IDS-21E2-00321,IGS,537
115418,IDS-21E2-00320,TMG,123
117963,IDS-21E2-00816,IGS,255
124914,IDS-21E2-00101,IGS,187
125880,IDS-21E2-00320,IGS,326
128313,IDS-21E2-00083,IGS,603
129525,IDS-21E2-00125,IGS,507
129713,IDS-21E2-00083,IGS,524
131156,IDS-21E2-00056,TMG,237
136998,IDS-21E2-00039,TMG,688
139713,IDS-21E2-00756,TMG,542
147755,IDS-21E2-00560,TMG,567
700536-2,IDS-21E2-00321,IGS,410
EII-CNS-OT-0025,IDS-21E2-00320,IGS,695
EII-CNS-OT-0025,IDS-21E2-00693,TMG,327
EII-CNS-OT-0030,IDS-21E2-00056,IGS,366
108259,IDS-21E2-00369,TMG,541
108259,IDS-21E2-00949,TMG,203
108259,IDS-21E2-01200,IGS,70
111742,IDS-21E2-00028,IGS,698
112048,IDS-21E2-00039,IGS,663
117019,IDS-21E2-00054,TMG,678
118140,IDS-21E2-00340,TMG,531
119852,IDS-21E2-00562,TMG,665
123498,IDS-21E2-00564,TMG,44
125880,IDS-21E2-01072,IGS,217
129713,IDS-21E2-00817,IGS,195
133133,IDS-21E2-00688,TMG,670
133414,IDS-21E2-00086,IGS,129
137932,IDS-21E2-00028,IGS,697
141305,IDS-21E2-00560,TMG,187
143236,IDS-21E2-00039,TMG,458
145340,IDS-21E2-00316,IGS,144
147831,IDS-21E2-00372,TMG,686
1000457,IDS-21E2-00028,TMG,654
102565,IDS-21E2-00436,TMG,671
102671,IDS-21E2-00039,TMG,694
108259,IDS-21E2-00886,TMG,80
108259,IDS-21E2-00332,TMG,566
112048,IDS-21E2-00820,TMG,126
112296,IDS-21E2-00596,TMG,453
118578,IDS-21E2-00101,TMG,416
119192,IDS-21E2-00039,TMG,571
119192,IDS-21E2-00125,TMG,279
120768,IDS-21E2-00039,IGS,561
122829,IDS-21E2-00372,TMG,467
124257,IDS-21E2-00056,TMG,410
124914,IDS-21E2-00320,IGS,678
131037,IDS-21E2-00086,IGS,236
135383,IDS-21E2-00028,IGS,373
138531,IDS-21E2-00576,TMG,36
138531,IDS-21E2-00628,TMG,679
138531,IDS-21E2-00380,TMG,460
139272,IDS-21E2-00628,IGS,658
139713,IDS-21E2-00561,IGS,192
140546,IDS-21E2-00320,TMG,147
141393,IDS-21E2-00039,TMG,420
700536-4,IDS-21E2-00576,TMG,574
EII-CNS-OT-0008,IDS-21E2-00624,IGS,266
100124,IDS-21E2-00125,IGS,552
105695,IDS-21E2-00564,IGS,642
105695,IDS-21E2-00564,TMG,375
108259,IDS-21E2-00817,IGS,501
109259,IDS-21E2-01204,IGS,549
115418,IDS-21E2-00320,IGS,270
119852,IDS-21E2-00340,IGS,619
119852,IDS-21E2-00336,IGS,574
121793,IDS-21E2-00516,TMG,159
127229,IDS-21E2-00316,IGS,523
132453,IDS-21E2-01072,TMG,56
132796,IDS-21E2-00464,TMG,88
139272,IDS-21E2-00039,IGS,681
145340,IDS-21E2-00817,IGS,562
147755,IDS-21E2-00039,TMG,693
