Entry No_,Journal Batch Name,Line No_,Registering Date,Location Code,Zone Code,Bin Code,Description,Item No_,Quantity,Qty_ (Base),Source Type,Source Subtype,Source No_,Source Line No_,Source Subline No_,Source Document,Source Code,Reason Code,No_ Series,Bin Type Code,Cubage,Weight,Journal Template Name,Whse_ Document No_,Whse_ Document Type,Whse_ Document Line No_,Entry Type,Reference Document,Reference No_,User ID,Variant Code,Qty_ per Unit of Measure,Unit of Measure Code,Serial No_,Lot No_,Warranty Date,Expiration Date,Phys Invt Counting Period Code,Phys Invt Counting Period Type,Dedicated
2456,,10000,16-12-2021,SEZ2,IGS,IGS,"RoHS,Label, 5 X 2 inch blank",138531,200,200,39,1,RM-MIC-0003,6280000,56749,5,PURCHASES,,WR-P,RECEIVE,113,101,,WR-P-E2-0001,1,6280000,1,1,GRN-E2-00159,SHREERESHMI.M,,1,EA,,IDS-21E2-00320,22-12-2026 21:52,28-10-2026 17:43,PC_004,1,1
2457,,10000,18-12-2022,SEZ3,TMG,TMG,"RoHS PCB BOARD, IQ CONTROLLER",102565,200,200,39,1,RM-MIC-0003,1050000,12347,5,PURCHASES,,WR-P,RECEIVE,125,107,,WR-P-E2-0001,1,1050000,1,1,GRN-E2-00158,SHREERESHMI.M,,1,EA,,IDS-21E2-00690,06-11-2026 14:07,08-11-2021 00:00,PC_002,1,1
2458,,10000,02-06-2022,SEZ2,IGS,IGS,"RoHS PCB BOARD, IQ CONTROLLER",135506,200,200,39,1,RM-MIC-0003,4020000,12347,5,PURCHASES,,WR-P,RECEIVE,126,186,,WR-P-E2-0001,1,4010000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00320,06-07-2027 14:26,25-12-2025 09:05,PC_002,1,1
2459,,10000,18-12-2021,SEZ3,TMG,TMG,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",119852,200,200,39,1,RM-MIC-0003,10120000,54673,5,PURCHASES,,WR-P,RECEIVE,151,203,,WR-P-E2-0001,1,10110000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00080,27-06-2027 06:40,08-11-2021 00:00,PC_004,1,1
2460,,10000,27-09-2021,SEZ3,TMG,TMG,OTCT-486*377*309MM-500PCS DIMM-Y,112048,175,175,39,1,RM-MIC-0003,720000,54673,5,PURCHASES,,WR-P,RECEIVE,149,166,,WR-P-E2-0001,1,720000,1,1,GRN-E2-00160,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,16-06-2025 10:36,04-05-2027 03:58,PC_004,1,1
2461,,10000,08-01-2022,SEZ3,TMG,TMG,OTCT-486*377*309MM-500PCS DIMM-Y,141305,250,250,39,1,RM-MIC-0003,3770000,12346,5,PURCHASES,,WR-P,RECEIVE,137,198,,WR-P-E2-0001,1,3770000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00432,12-10-2027 12:04,08-02-2026 00:00,PC_003,1,1
2462,,10000,30-09-2022,SEZ2,IGS,IGS,FUJI-FILTER 02,102565,0,0,39,1,RM-MIC-0003,3530000,12345,5,PURCHASES,,WR-P,RECEIVE,195,245,,WR-P-E2-0001,1,3500000,1,1,GRN-E2-00159,SHREERESHMI.M,,1,EA,,IDS-21E2-00564,20-06-2027 14:56,08-11-2021 00:00,PC_003,1,1
2463,,10000,21-05-2022,SEZ2,IGS,IGS,"RoHS,DRAM-1",112296,250,250,39,1,RM-MIC-0003,9510000,56749,5,PURCHASES,,WR-P,RECEIVE,211,123,,WR-P-E2-0001,1,9510000,1,1,GRN-E2-00166,SHREERESHMI.M,,1,EA,,IDS-21E2-01012,28-06-2025 06:14,08-11-2021 00:00,PC_005,1,1
2464,,10000,24-09-2021,SEZ2,IGS,IGS,"RoHS,DRAM-1",EII-CNS-OT-0025,250,250,39,1,RM-MIC-0003,2590000,12346,5,PURCHASES,,WR-P,RECEIVE,220,151,,WR-P-E2-0001,1,2590000,1,1,GRN-E2-00161,SHREERESHMI.M,,1,EA,,IDS-21E2-00083,15-07-2027 13:08,08-11-2021 00:00,PC_003,1,1
2465,,10000,10-07-2022,SEZ2,IGS,IGS,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,138531,250,250,39,1,RM-MIC-0003,9860000,12346,5,PURCHASES,,WR-P,RECEIVE,247,126,,WR-P-E2-0001,1,9860000,1,1,GRN-E2-00159,SHREERESHMI.M,,1,EA,,IDS-21E2-00056,18-04-2026 08:48,08-11-2021 00:00,PC_004,1,1
2466,,10000,01-12-2021,SEZ3,TMG,TMG,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",102671,250,250,39,1,RM-MIC-0003,3390000,12347,5,PURCHASES,,WR-P,RECEIVE,166,247,,WR-P-E2-0001,1,9690000,1,1,GRN-E2-00414,SHREERESHMI.M,,1,EA,,IDS-21E2-00080,09-10-2025 02:40,24-07-2025 23:19,PC_003,1,1
2467,,10000,17-07-2022,SEZ3,TMG,TMG,"RoHS,Label, 5 X 2 inch blank",119027,175,175,39,1,RM-MIC-0003,5060000,12345,5,PURCHASES,,WR-P,RECEIVE,106,168,,WR-P-E2-0001,1,5060000,1,1,GRN-E2-00669,SHREERESHMI.M,,1,EA,,IDS-21E2-00592,04-03-2025 10:10,08-11-2021 00:00,PC_002,1,1
2468,,10000,01-12-2022,SEZ3,TMG,TMG,"ROHS,Attention Tape",142798,250,250,39,1,RM-MIC-0003,1700000,56749,5,PURCHASES,,WR-P,RECEIVE,195,158,,WR-P-E2-0001,1,1700000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,29-06-2027 02:15,11-08-2023 18:29,PC_005,1,1
2469,,10000,28-05-2022,SEZ3,TMG,TMG,OTCT-486*377*309MM-500PCS DIMM-Y,119852,250,250,39,1,RM-MIC-0003,6810000,12345,5,PURCHASES,,WR-P,RECEIVE,164,243,,WR-P-E2-0001,1,6810000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00125,06-07-2026 03:10,08-11-2021 00:00,PC_002,1,1
2470,,10000,18-04-2022,SEZ2,IGS,IGS,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",145340,200,200,39,1,RM-MIC-0003,7310000,12347,5,PURCHASES,,WR-P,RECEIVE,212,154,,WR-P-E2-0001,1,3210000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,10-10-2027 19:34,23-01-2026 04:21,PC_005,1,1
2471,,10000,27-04-2022,SEZ3,TMG,TMG,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,133081,200,200,39,1,RM-MIC-0003,280000,12347,5,PURCHASES,,WR-P,RECEIVE,163,243,,WR-P-E2-0001,1,280000,1,1,GRN-E2-00192,SHREERESHMI.M,,1,EA,,IDS-21E2-00340,24-09-2025 23:53,08-11-2021 00:00,PC_003,1,1
2472,,10000,16-09-2022,SEZ2,IGS,IGS,OTCT-377*192*309MM-200PCS DIMM-Y,105449,175,175,39,1,RM-MIC-0003,11130000,12347,5,PURCHASES,,WR-P,RECEIVE,116,109,,WR-P-E2-0001,1,11140000,1,1,GRN-E2-00158,SHREERESHMI.M,,1,EA,,IDS-21E2-00114,21-05-2025 13:03,28-01-2026 00:00,PC_005,1,1
2473,,10000,28-09-2022,SEZ3,TMG,TMG,OTCT-650*478*228MM-1000PCS SODIMM-Y,133253,250,250,39,1,RM-MIC-0003,9930000,12346,5,PURCHASES,,WR-P,RECEIVE,238,161,,WR-P-E2-0001,1,9430000,1,1,GRN-E2-00189,SHREERESHMI.M,,1,EA,,IDS-21E2-00101,14-12-2026 03:48,08-11-2021 00:00,PC_002,1,1
2474,,10000,23-07-2022,SEZ3,TMG,TMG,OTCT-650*478*228MM-1000PCS SODIMM-Y,108259,175,175,39,1,RM-MIC-0003,1310000,12345,5,PURCHASES,,WR-P,RECEIVE,209,246,,WR-P-E2-0001,1,1310000,1,1,GRN-E2-00286,SHREERESHMI.M,,1,EA,,IDS-21E2-00563,16-04-2027 18:41,24-07-2025 23:19,PC_004,1,1
2475,,10000,03-04-2021,SEZ3,TMG,TMG,OTCT-650*478*228MM-1000PCS SODIMM-Y,136704,0,0,39,1,RM-MIC-0003,7260000,56749,5,PURCHASES,,WR-P,RECEIVE,215,108,,WR-P-E2-0001,1,7460000,1,1,GRN-E2-00285,SHREERESHMI.M,,1,EA,,IDS-21E2-00101,12-03-2025 11:42,08-11-2021 00:00,PC_004,1,1
2476,,10000,06-12-2022,SEZ2,IGS,IGS,"RoHS CARTON,SINGLE OUTPUT  PSU",108259,0,0,39,1,RM-MIC-0003,5140000,12346,5,PURCHASES,,WR-P,RECEIVE,124,230,,WR-P-E2-0001,1,5140000,1,1,GRN-E2-00159,SHREERESHMI.M,,1,EA,,IDS-21E2-00086,04-10-2027 11:12,08-11-2021 00:00,PC_005,1,1
2477,,10000,12-10-2022,SEZ2,IGS,IGS,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",1000457,175,175,39,1,RM-MIC-0003,7790000,56749,5,PURCHASES,,WR-P,RECEIVE,209,207,,WR-P-E2-0001,1,790000,1,1,GRN-E2-00176,SHREERESHMI.M,,1,EA,,IDS-21E2-00080,21-04-2025 00:14,06-08-2025 00:00,PC_003,1,1
2478,,10000,06-11-2021,SEZ2,IGS,IGS,OTCT-325*193*227MM-200PCS SODIMM-Y,1000457,0,0,39,1,RM-MIC-0003,7260000,12346,5,PURCHASES,,WR-P,RECEIVE,103,135,,WR-P-E2-0001,1,7260000,1,1,GRN-E2-00159,SHREERESHMI.M,,1,EA,,IDS-21E2-00613,01-04-2027 03:33,08-11-2021 00:00,PC_005,1,1
2479,,10000,19-04-2021,SEZ2,IGS,IGS,"RoHS CARTON,SINGLE OUTPUT  PSU",1000457,250,250,39,1,RM-MIC-0003,5750000,56749,5,PURCHASES,,WR-P,RECEIVE,112,176,,WR-P-E2-0001,1,5750000,1,1,GRN-E2-00158,SHREERESHMI.M,,1,EA,,IDS-21E2-00054,14-03-2025 05:56,03-12-2025 00:00,PC_003,1,1
2480,,10000,25-10-2021,SEZ2,IGS,IGS,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,114717,250,250,39,1,RM-MIC-0003,1540000,12346,5,PURCHASES,,WR-P,RECEIVE,232,117,,WR-P-E2-0001,1,1520000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,12-04-2026 20:04,08-02-2026 00:00,PC_004,1,1
2481,,10000,16-09-2022,SEZ3,TMG,TMG,"RoHS PCB BOARD, IQ CONTROLLER",141305,0,0,39,1,RM-MIC-0003,1990000,54673,5,PURCHASES,,WR-P,RECEIVE,203,227,,WR-P-E2-0001,1,1990000,1,1,GRN-E2-00190,SHREERESHMI.M,,1,EA,,IDS-21E2-00560,29-03-2025 04:24,06-08-2025 00:00,PC_002,1,1
2482,,10000,13-07-2021,SEZ3,TMG,TMG,"RoHS CARTON,SINGLE OUTPUT  PSU",108259,250,250,39,1,RM-MIC-0003,5030000,12346,5,PURCHASES,,WR-P,RECEIVE,241,131,,WR-P-E2-0001,1,5030000,1,1,GRN-E2-00158,SHREERESHMI.M,,1,EA,,IDS-21E2-00564,30-06-2027 18:24,06-08-2025 00:00,PC_003,1,1
2483,,10000,06-05-2022,SEZ2,IGS,IGS,OTCT-650*478*228MM-1000PCS SODIMM-Y,139272,175,175,39,1,RM-MIC-0003,9770000,12345,5,PURCHASES,,WR-P,RECEIVE,153,145,,WR-P-E2-0001,1,9770000,1,1,GRN-E2-00158,SHREERESHMI.M,,1,EA,,IDS-21E2-00564,17-10-2025 08:36,08-11-2021 00:00,PC_004,1,1
2484,,10000,08-09-2021,SEZ2,IGS,IGS,"ROHS,Attention Tape",EII-CNS-OT-0025,175,175,39,1,RM-MIC-0003,11140000,54673,5,PURCHASES,,WR-P,RECEIVE,171,179,,WR-P-E2-0001,1,11120000,1,1,GRN-E2-00190,SHREERESHMI.M,,1,EA,,IDS-21E2-01076,24-05-2027 14:42,30-10-2025 12:59,PC_005,1,1
2485,,10000,19-08-2022,SEZ2,IGS,IGS,OTCT-486*377*309MM-500PCS DIMM-Y,1000457,250,250,39,1,RM-MIC-0003,3970000,12346,5,PURCHASES,,WR-P,RECEIVE,177,192,,WR-P-E2-0001,1,3970000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00817,20-04-2027 12:28,08-11-2021 00:00,PC_002,1,1
2486,,10000,23-08-2022,SEZ3,TMG,TMG,"RoHS,Security Tape",700526-1,200,200,39,1,RM-MIC-0003,4690000,12345,5,PURCHASES,,WR-P,RECEIVE,247,122,,WR-P-E2-0001,1,4690000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,06-08-2026 21:55,12-07-2026 00:00,PC_003,1,1
2487,,10000,24-12-2022,SEZ2,IGS,IGS,STATIC SHIELDED BAGS OF SIZE 280x220,121969,200,200,39,1,RM-MIC-0003,6110000,56749,5,PURCHASES,,WR-P,RECEIVE,166,201,,WR-P-E2-0001,1,6110000,1,1,GRN-E2-00285,SHREERESHMI.M,,1,EA,,IDS-21E2-00324,11-03-2027 19:59,20-03-2027 17:10,PC_003,1,1
2488,,10000,19-04-2021,SEZ2,IGS,IGS,OTCT-377*192*309MM-200PCS DIMM-Y,119852,0,0,39,1,RM-MIC-0003,6790000,12347,5,PURCHASES,,WR-P,RECEIVE,240,223,,WR-P-E2-0001,1,1090000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00028,04-09-2025 18:00,06-08-2025 00:00,PC_003,1,1
2489,,10000,08-09-2021,SEZ2,IGS,IGS,STATIC SHIELDED BAGS OF SIZE 280x220,700536-4,250,250,39,1,RM-MIC-0003,6160000,12346,5,PURCHASES,,WR-P,RECEIVE,208,218,,WR-P-E2-0001,1,6180000,1,1,GRN-E2-00189,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,30-01-2026 12:50,12-07-2026 00:00,PC_004,1,1
2490,,10000,25-11-2022,SEZ2,IGS,IGS,"RoHS PCB BOARD, IQ CONTROLLER",108259,0,0,39,1,RM-MIC-0003,7220000,12345,5,PURCHASES,,WR-P,RECEIVE,118,207,,WR-P-E2-0001,1,7720000,1,1,GRN-E2-00159,SHREERESHMI.M,,1,EA,,IDS-21E2-00464,03-03-2027 17:52,08-02-2026 00:00,PC_002,1,1
2491,,10000,07-05-2022,SEZ3,TMG,TMG,"RoHS,Security Tape",138531,250,250,39,1,RM-MIC-0003,7590000,56749,5,PURCHASES,,WR-P,RECEIVE,201,125,,WR-P-E2-0001,1,7500000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00563,10-01-2027 14:14,08-11-2021 00:00,PC_002,1,1
2492,,10000,19-10-2022,SEZ2,IGS,IGS,OTCT-377*192*309MM-200PCS DIMM-Y,143796,175,175,39,1,RM-MIC-0003,2230000,54673,5,PURCHASES,,WR-P,RECEIVE,182,120,,WR-P-E2-0001,1,2230000,1,1,GRN-E2-00158,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,26-03-2026 08:43,08-02-2026 00:00,PC_002,1,1
2493,,10000,23-08-2021,SEZ2,IGS,IGS,"RoHS,SCM1G8Z41CD8SA-062E",117019,200,200,39,1,RM-MIC-0003,3250000,54673,5,PURCHASES,,WR-P,RECEIVE,231,205,,WR-P-E2-0001,1,3250000,1,1,GRN-E2-00158,SHREERESHMI.M,,1,EA,,IDS-21E2-00692,14-09-2025 15:00,28-01-2026 00:00,PC_005,1,1
2494,,10000,30-07-2021,SEZ2,IGS,IGS,"ROHS,Attention Tape",1000457,175,175,39,1,RM-MIC-0003,900000,12347,5,PURCHASES,,WR-P,RECEIVE,161,248,,WR-P-E2-0001,1,900000,1,1,GRN-E2-00317,SHREERESHMI.M,,1,EA,,IDS-21E2-00436,07-09-2026 02:33,12-07-2026 00:00,PC_003,1,1
2495,,10000,07-06-2021,SEZ3,TMG,TMG,"RoHS,SCM1G8Z41CD8SA-062E",102671,200,200,39,1,RM-MIC-0003,8360000,56749,5,PURCHASES,,WR-P,RECEIVE,152,248,,WR-P-E2-0001,1,8360000,1,1,GRN-E2-00143,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,10-02-2026 08:15,15-08-2025 22:59,PC_002,1,1
2496,,10000,19-03-2021,SEZ3,TMG,TMG,"RoHS,Label, 5 X 2 inch blank",1000457,0,0,39,1,RM-MIC-0003,3880000,12347,5,PURCHASES,,WR-P,RECEIVE,212,183,,WR-P-E2-0001,1,3880000,1,1,GRN-E2-00142,SHREERESHMI.M,,1,EA,,IDS-21E2-00080,11-08-2025 03:26,09-07-2025 09:28,PC_002,1,1
2497,,10000,28-02-2022,SEZ2,IGS,IGS,"RoHS,Label, 4X6 inch",119852,175,175,39,1,RM-MIC-0003,3630000,56749,5,PURCHASES,,WR-P,RECEIVE,145,142,,WR-P-E2-0001,1,3600000,1,1,GRN-E2-00159,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,27-10-2026 19:41,24-06-2026 21:33,PC_004,1,1
2498,,10000,01-06-2021,SEZ3,TMG,TMG,"ROHS,Attention Tape",119852,175,175,39,1,RM-MIC-0003,410000,12347,5,PURCHASES,,WR-P,RECEIVE,102,121,,WR-P-E2-0001,1,440000,1,1,GRN-E2-00158,SHREERESHMI.M,,1,EA,,IDS-21E2-00564,23-06-2027 02:09,04-05-2027 03:58,PC_005,1,1
2499,,10000,20-12-2022,SEZ2,IGS,IGS,FUJI-FILTER 02,1000457,250,250,39,1,RM-MIC-0003,2320000,12345,5,PURCHASES,,WR-P,RECEIVE,145,212,,WR-P-E2-0001,1,2320000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00368,24-05-2027 00:03,30-09-2026 21:38,PC_002,1,1
2500,,10000,30-11-2022,SEZ3,TMG,TMG,"RoHS,SCM1G8Z41CD8SA-062E",108259,175,175,39,1,RM-MIC-0003,6280000,12345,5,PURCHASES,,WR-P,RECEIVE,154,140,,WR-P-E2-0001,1,6280000,1,1,GRN-E2-00160,SHREERESHMI.M,,1,EA,,IDS-21E2-00577,02-12-2025 20:03,27-10-2025 04:07,PC_002,1,1
2501,,10000,29-12-2021,SEZ2,IGS,IGS,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,146860,250,250,39,1,RM-MIC-0003,780000,54673,5,PURCHASES,,WR-P,RECEIVE,214,163,,WR-P-E2-0001,1,10870000,1,1,GRN-E2-00166,SHREERESHMI.M,,1,EA,,IDS-21E2-00432,18-03-2027 18:58,08-11-2021 00:00,PC_002,1,1
2502,,10000,02-03-2022,SEZ2,IGS,IGS,OTCT-377*192*309MM-200PCS DIMM-Y,EII-CNS-OT-0008,250,250,39,1,RM-MIC-0003,8930000,12347,5,PURCHASES,,WR-P,RECEIVE,136,218,,WR-P-E2-0001,1,8930000,1,1,GRN-E2-00670,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,04-03-2025 18:18,28-01-2026 00:00,PC_003,1,1
2503,,10000,29-05-2021,SEZ2,IGS,IGS,"RoHS,SCM1G8Z41CD8SA-062E",135506,250,250,39,1,RM-MIC-0003,10090000,54673,5,PURCHASES,,WR-P,RECEIVE,250,141,,WR-P-E2-0001,1,10090000,1,1,GRN-E2-00142,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,04-03-2025 13:03,04-05-2027 03:58,PC_002,1,1
2504,,10000,02-03-2021,SEZ3,TMG,TMG,OTCT-325*193*227MM-200PCS SODIMM-Y,119852,200,200,39,1,RM-MIC-0003,9120000,54673,5,PURCHASES,,WR-P,RECEIVE,162,189,,WR-P-E2-0001,1,9320000,1,1,GRN-E2-00672,SHREERESHMI.M,,1,EA,,IDS-21E2-00693,10-08-2027 23:05,08-11-2021 00:00,PC_005,1,1
2505,,10000,30-08-2021,SEZ2,IGS,IGS,"RoHS,Label, 4X6 inch",100107,200,200,39,1,RM-MIC-0003,7040000,54673,5,PURCHASES,,WR-P,RECEIVE,177,136,,WR-P-E2-0001,1,7740000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00630,23-08-2025 07:27,04-05-2027 03:58,PC_002,1,1
2506,,10000,07-07-2022,SEZ3,TMG,TMG,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",114717,200,200,39,1,RM-MIC-0003,9130000,12345,5,PURCHASES,,WR-P,RECEIVE,172,138,,WR-P-E2-0001,1,9130000,1,1,GRN-E2-00286,SHREERESHMI.M,,1,EA,,IDS-21E2-01072,11-10-2027 06:40,11-08-2023 18:29,PC_005,1,1
2507,,10000,02-04-2021,SEZ2,IGS,IGS,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,119852,250,250,39,1,RM-MIC-0003,4550000,12345,5,PURCHASES,,WR-P,RECEIVE,149,193,,WR-P-E2-0001,1,4550000,1,1,GRN-E2-00160,SHREERESHMI.M,,1,EA,,IDS-21E2-00320,07-03-2025 12:22,11-08-2023 18:29,PC_005,1,1
2508,,10000,09-10-2022,SEZ2,IGS,IGS,OTCT-650*478*228MM-1000PCS SODIMM-Y,119852,250,250,39,1,RM-MIC-0003,3230000,12346,5,PURCHASES,,WR-P,RECEIVE,107,174,,WR-P-E2-0001,1,3230000,1,1,GRN-E2-00221,SHREERESHMI.M,,1,EA,,IDS-21E2-00125,15-08-2027 14:00,25-05-2025 02:34,PC_002,1,1
2509,,10000,27-08-2021,SEZ3,TMG,TMG,"RoHS,Label, 4X6 inch",121341,200,200,39,1,RM-MIC-0003,2140000,56749,5,PURCHASES,,WR-P,RECEIVE,229,184,,WR-P-E2-0001,1,2140000,1,1,GRN-E2-00319,SHREERESHMI.M,,1,EA,,IDS-21E2-00816,26-03-2025 20:06,25-03-2027 05:24,PC_005,1,1
2510,,10000,01-11-2021,SEZ2,IGS,IGS,"RoHS PCB BOARD, IQ CONTROLLER",142120,250,250,39,1,RM-MIC-0003,1950000,12346,5,PURCHASES,,WR-P,RECEIVE,235,118,,WR-P-E2-0001,1,1950000,1,1,GRN-E2-00189,SHREERESHMI.M,,1,EA,,IDS-21E2-00816,22-09-2027 01:56,27-10-2025 04:07,PC_002,1,1
2511,,10000,17-09-2021,SEZ2,IGS,IGS,"RoHS,DRAM-1",119852,0,0,39,1,RM-MIC-0003,8730000,12345,5,PURCHASES,,WR-P,RECEIVE,153,219,,WR-P-E2-0001,1,8730000,1,1,GRN-E2-00189,SHREERESHMI.M,,1,EA,,IDS-21E2-00125,05-03-2027 02:41,14-05-2026 00:03,PC_002,1,1
2512,,10000,26-09-2022,SEZ3,TMG,TMG,"RoHS CARTON,SINGLE OUTPUT  PSU",119852,200,200,39,1,RM-MIC-0003,10850000,12347,5,PURCHASES,,WR-P,RECEIVE,138,181,,WR-P-E2-0001,1,10050000,1,1,GRN-E2-00158,SHREERESHMI.M,,1,EA,,IDS-21E2-00086,03-07-2025 17:56,08-11-2021 00:00,PC_002,1,1
2513,,10000,27-03-2022,SEZ3,TMG,TMG,"RoHS,Label, 4X6 inch",114717,0,0,39,1,RM-MIC-0003,4320000,12346,5,PURCHASES,,WR-P,RECEIVE,186,175,,WR-P-E2-0001,1,4320000,1,1,GRN-E2-00160,SHREERESHMI.M,,1,EA,,IDS-21E2-00101,13-10-2027 09:42,22-02-2026 00:00,PC_003,1,1
2514,,10000,14-09-2021,SEZ3,TMG,TMG,"RoHS,Label, 4X6 inch",135722,250,250,39,1,RM-MIC-0003,11060000,12347,5,PURCHASES,,WR-P,RECEIVE,215,245,,WR-P-E2-0001,1,11060000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00564,16-07-2025 08:32,20-03-2027 17:10,PC_005,1,1
2515,,10000,20-11-2021,SEZ3,TMG,TMG,"RoHS,Label, 4X6 inch",1000457,0,0,39,1,RM-MIC-0003,10790000,56749,5,PURCHASES,,WR-P,RECEIVE,115,240,,WR-P-E2-0001,1,10790000,1,1,GRN-E2-00190,SHREERESHMI.M,,1,EA,,IDS-21E2-00585,06-01-2027 06:49,30-06-2027 16:23,PC_005,1,1
2516,,10000,06-06-2022,SEZ3,TMG,TMG,_RARE_,135722,0,0,39,1,RM-MIC-0003,10670000,12345,5,PURCHASES,,WR-P,RECEIVE,181,160,,WR-P-E2-0001,1,10640000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00564,30-07-2026 05:01,08-11-2021 00:00,PC_005,1,1
2517,,10000,31-12-2021,SEZ2,IGS,IGS,"RoHS PCB BOARD, IQ CONTROLLER",119852,200,200,39,1,RM-MIC-0003,9120000,12345,5,PURCHASES,,WR-P,RECEIVE,226,177,,WR-P-E2-0001,1,9120000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,21-07-2026 21:38,26-12-2027 09:08,PC_005,1,1
2518,,10000,01-08-2021,SEZ2,IGS,IGS,STATIC SHIELDED BAGS OF SIZE 280x220,1000457,175,175,39,1,RM-MIC-0003,7290000,12345,5,PURCHASES,,WR-P,RECEIVE,114,120,,WR-P-E2-0001,1,7290000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00561,13-03-2026 15:47,08-11-2021 00:00,PC_003,1,1
2519,,10000,09-11-2022,SEZ2,IGS,IGS,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/",139895,200,200,39,1,RM-MIC-0003,7510000,12345,5,PURCHASES,,WR-P,RECEIVE,234,194,,WR-P-E2-0001,1,3510000,1,1,GRN-E2-00159,SHREERESHMI.M,,1,EA,,IDS-21E2-00884,01-01-2027 07:28,08-11-2021 00:00,PC_005,1,1
2520,,10000,24-08-2021,SEZ2,IGS,IGS,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,119852,175,175,39,1,RM-MIC-0003,3690000,12347,5,PURCHASES,,WR-P,RECEIVE,179,139,,WR-P-E2-0001,1,3690000,1,1,GRN-E2-00190,SHREERESHMI.M,,1,EA,,IDS-21E2-00125,25-08-2027 13:49,23-07-2027 20:44,PC_003,1,1
2521,,10000,15-03-2021,SEZ2,IGS,IGS,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,135677,0,0,39,1,RM-MIC-0003,190000,54673,5,PURCHASES,,WR-P,RECEIVE,197,209,,WR-P-E2-0001,1,190000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00560,28-02-2026 21:28,08-11-2021 00:00,PC_003,1,1
2522,,10000,28-08-2021,SEZ2,IGS,IGS,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,119192,0,0,39,1,RM-MIC-0003,420000,54673,5,PURCHASES,,WR-P,RECEIVE,116,205,,WR-P-E2-0001,1,420000,1,1,GRN-E2-00158,SHREERESHMI.M,,1,EA,,IDS-21E2-00056,21-03-2026 23:34,08-11-2021 00:00,PC_002,1,1
2523,,10000,16-01-2022,SEZ3,TMG,TMG,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,119852,250,250,39,1,RM-MIC-0003,9350000,54673,5,PURCHASES,,WR-P,RECEIVE,119,154,,WR-P-E2-0001,1,9350000,1,1,GRN-E2-00285,SHREERESHMI.M,,1,EA,,IDS-21E2-00320,04-07-2026 16:47,06-02-2027 11:21,PC_002,1,1
2524,,10000,02-03-2021,SEZ3,TMG,TMG,"RoHS,Label, 4X6 inch",114717,200,200,39,1,RM-MIC-0003,5270000,12345,5,PURCHASES,,WR-P,RECEIVE,188,176,,WR-P-E2-0001,1,5270000,1,1,GRN-E2-00653,SHREERESHMI.M,,1,EA,,IDS-21E2-00688,25-03-2025 11:51,28-01-2026 00:00,PC_004,1,1
